Liczba miast;Wielkość populacji;Współczynnik krzyżowania;Współczynnik mutacji;Metoda krzyżowania;Metoda mutacji;Długość najlepszej ścieżki;Czas znalezienia najlepszej ścieżki;Najlepsza ścieżka
48;12;0.8;0.1;Cycle;swap;2290;0.078079;1 37 47 26 22 40 20 38 18 17 36 14 16 45 39 21 42 28 3 33 27 24 29 30 5 4 10 11 8 32 7 31 9 2 41 43 19 44 15 35 34 13 46 23 12 6 0 25 1
48;12;0.8;0.1;Cycle;swap;2203;38.7828;25 1 47 26 22 40 20 38 18 46 36 14 35 45 39 21 42 28 3 33 27 24 29 30 5 4 10 11 8 32 7 31 9 2 41 43 19 44 15 16 17 13 34 23 12 6 37 0 25
48;12;0.8;0.1;Cycle;swap;2224;10.1277;25 1 47 26 22 40 20 38 18 46 36 14 16 45 39 21 42 28 3 33 27 24 29 30 5 4 10 11 8 32 7 31 9 2 41 43 19 44 15 17 13 34 35 23 12 6 37 0 25
48;12;0.8;0.1;Cycle;swap;2272;0.44452;25 1 47 26 22 40 20 38 18 17 36 14 16 45 39 21 42 28 3 33 27 24 29 30 5 4 6 11 8 32 7 31 9 2 41 43 19 44 15 35 34 13 46 23 12 10 37 0 25
48;12;0.8;0.1;Cycle;swap;2272;0.61578;1 25 47 26 22 40 20 38 18 17 36 14 16 45 39 21 42 28 3 33 27 24 29 30 5 4 6 11 8 32 7 31 9 2 41 43 19 44 15 35 34 13 46 23 12 10 37 0 1
48;12;0.8;0.1;Cycle;swap;2272;0.511326;1 25 47 26 22 40 20 38 18 17 36 14 16 45 39 21 42 28 3 33 27 24 29 30 5 4 6 11 8 32 7 31 9 2 41 43 19 44 15 35 34 13 46 23 12 10 37 0 1
48;12;0.8;0.1;Cycle;swap;2272;0.491259;25 1 47 26 22 40 20 38 18 17 36 14 16 45 39 21 42 28 3 33 27 24 29 30 5 4 6 11 8 32 7 31 9 2 41 43 19 44 15 35 34 13 46 23 12 10 37 0 25
48;12;0.8;0.1;Cycle;swap;2168;55.6673;1 37 47 26 22 40 20 38 18 46 36 35 14 45 39 21 42 28 3 33 27 24 4 29 30 5 6 8 11 32 7 31 9 2 41 43 19 44 15 16 17 13 34 23 12 10 0 25 1
48;12;0.8;0.1;Cycle;swap;2290;0.28661;1 37 47 26 22 40 20 38 18 17 36 14 16 45 39 21 42 28 3 33 27 24 29 30 5 4 6 11 8 32 7 31 9 2 41 43 19 44 15 35 34 13 46 23 12 10 0 25 1
48;12;0.8;0.1;Cycle;swap;2272;0.216075;25 1 47 26 22 40 20 38 18 17 36 14 16 45 39 21 42 28 3 33 27 24 29 30 5 4 6 11 8 32 7 31 9 2 41 43 19 44 15 35 34 13 46 23 12 10 37 0 25
48;16;0.8;0.1;Cycle;swap;2052;0.0553575;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;16;0.8;0.1;Cycle;swap;2052;0.107762;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;16;0.8;0.1;Cycle;swap;2069;0.0681239;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 0 25 1 11 8 10 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;16;0.8;0.1;Cycle;swap;2083;0.0656686;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 10 0 25 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;16;0.8;0.1;Cycle;swap;2052;0.156895;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 0 25 1 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;16;0.8;0.1;Cycle;swap;2069;0.0503601;13 34 46 36 14 16 45 37 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 11 8 10 9 29 30 5 31 7 23 35 15 19 44 39 21 20 13
48;16;0.8;0.1;Cycle;swap;2083;0.041047;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 10 0 25 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;16;0.8;0.1;Cycle;swap;2083;0.0622124;34 13 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 10 0 25 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 34
48;16;0.8;0.1;Cycle;swap;2083;0.0730796;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 10 0 25 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;16;0.8;0.1;Cycle;swap;2083;0.126371;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 10 0 25 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;24;0.8;0.1;Cycle;swap;2083;0.0854066;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 10 0 25 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;24;0.8;0.1;Cycle;swap;2052;0.0175732;13 34 46 36 14 16 45 20 37 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 38 13
