Liczba miast;Wielkość populacji;Współczynnik krzyżowania;Współczynnik mutacji;Metoda krzyżowania;Metoda mutacji;Długość najlepszej ścieżki;Czas znalezienia najlepszej ścieżki;Najlepsza ścieżka
48;24;0.8;0.5;Cycle;swap;2041;4.61143;34 13 46 36 14 16 45 20 38 18 17 12 32 6 11 8 9 33 27 28 2 41 43 22 40 47 26 42 0 25 1 10 3 24 4 29 30 5 31 7 23 35 15 19 44 39 21 37 34
48;24;0.8;0.5;Cycle;swap;2052;0.0169751;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;24;0.8;0.5;Cycle;swap;2052;0.0058526;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 0 25 1 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;24;0.8;0.5;Cycle;swap;2052;2.57379;34 13 46 36 14 16 45 20 38 37 18 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 44 19 39 21 17 34
48;24;0.8;0.5;Cycle;swap;2052;0.357945;13 34 46 36 14 16 45 20 37 38 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 44 19 39 21 18 13
48;24;0.8;0.5;Cycle;swap;2052;0.0054414;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 0 25 1 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;24;0.8;0.5;Cycle;swap;2052;0.0050176;13 34 46 36 14 16 45 20 38 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 0 25 1 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 37 13
48;24;0.8;0.5;Cycle;swap;2052;1.7176;13 34 46 36 14 16 45 20 37 18 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 1 0 25 10 11 8 9 29 30 5 31 7 23 35 15 44 19 39 21 38 13
48;24;0.8;0.5;Cycle;swap;2052;0.0211282;13 34 46 36 14 16 45 20 38 37 17 12 32 6 24 4 3 33 27 28 2 41 43 22 40 47 26 42 0 25 1 10 11 8 9 29 30 5 31 7 23 35 15 19 44 39 21 18 13
48;24;0.8;0.25;Cycle;insert;1889;17.7677;13 12 32 6 9 33 27 28 2 41 43 42 22 47 26 1 10 11 8 3 24 4 29 30 5 31 7 23 35 14 15 16 45 39 19 44 21 40 20 38 37 0 25 18 17 46 36 34 13
48;24;0.8;0.25;Cycle;insert;1896;2.23342;38 18 17 46 36 14 13 12 32 6 9 33 27 28 2 41 43 42 22 40 47 26 0 25 1 10 11 8 3 24 4 29 30 5 31 7 23 34 35 15 16 45 39 19 44 21 20 37 38
48;24;0.8;0.25;Cycle;insert;1932;2.5882;38 37 18 17 46 36 13 12 32 6 3 2 41 43 42 22 47 26 1 0 25 10 11 8 9 33 27 28 24 4 29 30 5 31 7 23 34 35 14 15 16 45 39 19 44 21 40 20 38
48;24;0.8;0.25;Cycle;insert;1889;9.31789;18 17 46 36 13 12 32 9 33 27 28 2 41 43 42 22 47 26 1 10 11 8 6 3 24 4 29 30 5 31 7 23 34 35 14 15 16 45 39 19 44 21 40 20 0 25 37 38 18
48;24;0.8;0.25;Cycle;insert;1889;25.0352;21 20 37 38 0 25 18 17 46 36 14 13 12 32 6 9 33 27 28 2 41 43 42 22 40 47 26 1 10 11 8 3 24 4 29 30 5 31 7 23 34 35 15 16 45 39 19 44 21
48;24;0.8;0.25;Cycle;insert;1889;6.11894;36 13 12 32 6 9 33 27 28 2 41 43 42 22 47 26 1 10 11 8 3 24 4 29 30 5 31 7 23 34 35 14 15 16 45 39 19 44 21 40 20 38 0 25 37 18 17 46 36
48;24;0.8;0.25;Cycle;insert;1896;0.935256;20 37 38 18 17 46 36 14 13 12 32 6 9 33 27 28 2 41 43 42 22 40 47 26 0 25 1 10 11 8 3 24 4 29 30 5 31 7 23 34 35 15 16 45 39 19 44 21 20
48;24;0.8;0.25;Cycle;insert;1889;0.278641;36 13 12 32 6 9 33 27 28 2 41 43 42 22 47 26 1 10 11 8 3 24 4 29 30 5 31 7 23 34 35 14 15 16 45 39 19 44 21 40 20 38 0 25 37 18 17 46 36
48;24;0.8;0.25;Cycle;insert;1889;1.89326;18 17 46 36 13 12 32 6 9 33 27 28 2 41 43 42 22 40 47 26 1 10 11 8 3 24 4 29 30 5 31 7 23 34 35 14 15 16 45 39 19 44 21 20 38 37 0 25 18
48;24;0.8;0.25;Cycle;insert;1889;4.38123;46 36 34 13 12 32 9 33 27 28 2 41 43 42 22 40 47 26 1 10 11 8 6 3 24 4 29 30 5 31 7 23 35 14 15 16 45 39 19 44 21 20 38 37 0 25 18 17 46
48;24;0.8;0.35;Cycle;insert;1889;2.32466;18 17 46 36 14 34 13 12 32 6 9 33 27 28 2 41 43 42 22 47 26 1 10 11 8 3 24 4 29 30 5 31 7 23 35 15 16 45 39 19 44 21 40 20 37 38 0 25 18
48;24;0.8;0.35;Cycle;insert;1819;58.5356;25 18 17 12 32 9 33 27 28 2 41 43 42 22 40 47 26 1 10 11 8 6 3 24 4 29 30 5 31 7 23 34 13 46 36 14 35 15 16 45 39 19 44 21 20 38 37 0 25
48;24;0.8;0.35;Cycle;insert;1889;0.40706;37 0 25 18 17 46 36 14 13 12 32 6 9 33 27 28 2 41 43 42 22 40 47 26 1 10 11 8 3 24 4 29 30 5 31 7 23 34 35 15 16 45 39 19 44 21 20 38 37
48;24;0.8;0.35;Cycle;insert;1889;0.465868;17 46 36 13 12 32 6 9 33 27 28 2 41 43 42 22 47 26 1 10 11 8 3 24 4 29 30 5 31 7 23 34 35 14 15 16 45 39 19 44 21 40 20 38 0 25 37 18 17
48;24;0.8;0.35;Cycle;insert;1889;40.0236;41 43 42 22 40 47 26 1 10 11 8 6 3 24 4 29 30 5 31 7 23 34 35 15 16 45 39 19 44 21 20 0 25 37 38 18 17 46 36 14 13 12 32 9 33 27 28 2 41
48;24;0.8;0.35;Cycle;insert;1819;25.98;23 34 13 46 36 35 14 15 16 45 39 19 44 21 40 20 37 38 0 25 18 17 12 32 9 33 27 28 2 41 43 42 22 47 26 1 10 11 8 6 3 24 4 29 30 5 31 7 23
48;24;0.8;0.35;Cycle;insert;1889;1.96748;17 46 36 14 13 12 32 9 33 27 28 2 41 43 42 22 40 47 26 1 10 11 8 6 3 24 4 29 30 5 31 7 23 34 35 15 16 45 39 19 44 21 20 0 25 37 38 18 17
48;24;0.8;0.35;Cycle;insert;1819;33.8682;37 0 25 18 17 12 32 9 33 27 28 2 41 43 42 22 40 47 26 1 10 11 8 6 3 24 4 29 30 5 31 7 23 34 13 46 36 35 14 15 16 45 39 19 44 21 20 38 37
48;24;0.8;0.35;Cycle;insert;1889;3.79106;23 35 15 16 45 39 19 44 21 20 38 37 0 25 18 17 46 36 14 34 13 12 32 9 33 27 28 2 41 43 42 22 40 47 26 1 10 11 8 6 3 24 4 29 30 5 31 7 23
48;24;0.8;0.35;Cycle;insert;1819;32.7946;13 46 36 35 14 15 16 45 39 19 44 21 20 38 0 25 37 18 17 12 32 9 33 27 28 2 41 43 42 22 40 47 26 1 10 11 8 6 3 24 4 29 30 5 31 7 23 34 13
48;24;0.8;0.5;Cycle;insert;1819;14.7205;38 37 0 25 18 17 12 32 9 33 27 28 2 41 43 42 22 47 26 1 10 11 8 6 3 24 4 29 30 5 31 7 23 34 13 46 36 35 14 15 16 45 39 19 44 21 40 20 38
48;24;0.8;0.5;Cycle;insert;1819;29.1661;21 40 20 38 37 0 25 18 17 12 32 9 33 27 28 2 41 43 42 22 47 26 1 10 11 8 6 3 24 4 29 30 5 31 7 23 34 13 46 36 35 14 15 16 45 39 19 44 21
48;24;0.8;0.5;Cycle;insert;1889;1.21026;25 18 17 46 36 13 12 32 6 9 33 27 28 2 41 43 42 22 47 26 1 10 11 8 3 24 4 29 30 5 31 7 23 34 35 14 15 16 45 39 19 44 21 40 20 37 38 0 25
48;24;0.8;0.5;Cycle;insert;1819;38.5574;45 39 19 44 21 20 0 25 37 38 18 17 12 32 9 33 27 28 2 41 43 42 22 40 47 26 1 10 11 8 6 3 24 4 29 30 5 31 7 23 34 13 46 36 35 14 15 16 45
48;24;0.8;0.5;Cycle;insert;1819;35.7767;10 11 8 3 24 4 29 30 5 31 7 23 34 13 46 36 35 14 15 16 45 39 19 44 21 40 20 38 37 0 25 18 17 12 32 6 9 33 27 28 2 41 43 42 22 47 26 1 10
48;24;0.8;0.5;Cycle;insert;1819;37.8504;23 34 13 46 36 35 14 15 16 45 39 19 44 21 40 20 38 0 25 37 18 17 12 32 9 33 27 28 2 41 43 42 22 47 26 1 10 11 8 6 3 24 4 29 30 5 31 7 23
48;24;0.8;0.5;Cycle;insert;1819;27.0427;29 30 5 31 7 23 34 13 46 36 35 14 15 16 45 39 19 44 21 40 20 37 38 0 25 18 17 12 32 6 9 33 27 28 2 41 43 42 22 47 26 1 10 11 8 3 24 4 29
48;24;0.8;0.5;Cycle;insert;1819;15.7228;36 35 14 15 16 45 39 19 44 21 40 20 38 0 25 37 18 17 12 32 6 9 33 27 28 2 41 43 42 22 47 26 1 10 11 8 3 24 4 29 30 5 31 7 23 34 13 46 36
48;24;0.8;0.5;Cycle;insert;1863;17.9617;31 7 23 34 13 46 36 35 14 15 16 45 39 19 44 21 40 20 37 38 18 17 12 32 6 9 33 27 2 41 43 42 22 47 26 1 10 8 11 0 25 28 3 24 4 29 30 5 31
48;24;0.8;0.5;Cycle;insert;1819;18.2303;43 42 22 47 26 1 10 11 8 3 24 4 29 30 5 31 7 23 34 13 46 36 35 14 15 16 45 39 19 44 21 40 20 38 0 25 37 18 17 12 32 6 9 33 27 28 2 41 43
