Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.2609 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.9505 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.5913 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0464 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.9497 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.9561 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.1466 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0239 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.9001 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.3596 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.4897 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0857 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.624 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.2882 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 4.1852 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.1786 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.1584 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.4421 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.2857 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.4768 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.3963 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0978 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 3.2825 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 3.0405 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.981 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.9858 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.046 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.4271 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0846 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.958 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.8291 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.987 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.9075 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.8181 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.6514 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.0431 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.8794 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 1.8894 ms
Algorytm Best First Search; 10 miast; Długość ścieżki: 136; Czas: 2.8586 ms
Algorytm Best First Search; 11 miast; Długość ścieżki: 149; Czas: 1.669 ms
Algorytm Best First Search; 11 miast; Długość ścieżki: 149; Czas: 2.9191 ms
Algorytm Best First Search; 11 miast; Długość ścieżki: 149; Czas: 1.4475 ms
Algorytm Best First Search; 6 miast; Długość ścieżki: 150; Czas: 0.0671 ms
Algorytm Best First Search; 11 miast; Długość ścieżki: 149; Czas: 2.1901 ms
Algorytm Best First Search; 11 miast; Długość ścieżki: 149; Czas: 4.0978 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.4627 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.4791 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.347 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.6014 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.4136 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3962 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.4332 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3866 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.4257 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.4092 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.5053 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3977 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.44 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3635 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.4262 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3939 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.4231 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.386 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2864 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.407 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3971 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3596 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3604 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3588 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3777 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.384 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3474 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3845 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.352 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.4422 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3049 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3447 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.4001 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3433 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.5112 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.5555 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3834 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3903 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3403 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3754 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.47 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.4462 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3975 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3665 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 1.4908 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3731 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.261 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3433 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3782 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2797 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3176 ms
