Algorytm Breath First Search; 8 miast; Długość ścieżki: 212; Czas: 420.024 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 212; Czas: 448.878 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 170; Czas: 445.659 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 170; Czas: 466.76 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 121; Czas: 395.757 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 121; Czas: 420.64 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 159; Czas: 411.081 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 159; Czas: 455.923 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 148; Czas: 411.766 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 148; Czas: 451.929 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 80; Czas: 394.182 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 176; Czas: 133.528 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 103; Czas: 129.911 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 118; Czas: 144.336 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 194; Czas: 147.79 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 146; Czas: 135.748 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 108; Czas: 138.184 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 230; Czas: 154.776 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 158; Czas: 125.843 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 143; Czas: 133.843 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 136; Czas: 129.078 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 136; Czas: 125.692 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 117; Czas: 127.88 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 168; Czas: 142.147 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 245; Czas: 163.912 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 132; Czas: 167.701 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 109; Czas: 170.584 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 215; Czas: 158.515 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 155; Czas: 139.692 ms
