Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0065 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0215 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0098 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0055 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0055 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.009 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.005 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0107 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0045 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0263 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0064 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0064 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0069 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0074 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0029 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0057 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0219 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.008 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0104 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0053 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0052 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0056 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0046 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0187 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0064 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0065 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0182 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0096 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0056 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0055 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0067 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.009 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.005 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0073 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0052 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0059 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0069 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.016 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0066 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0041 ms
Algorytm Depth First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0033 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 226; Czas: 0.0384 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 226; Czas: 0.0243 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 226; Czas: 0.0409 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 226; Czas: 0.0327 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 226; Czas: 0.0123 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0109 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0316 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0122 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0139 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0236 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0188 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0157 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0172 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.011 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0137 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0071 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0116 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0113 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0122 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0111 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0139 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.011 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0078 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0234 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0075 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0114 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0138 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0125 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0393 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0117 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0674 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0481 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0117 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0102 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0074 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0122 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0237 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0118 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0119 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0152 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0114 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0129 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.2803 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0157 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0208 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0189 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0116 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0138 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0115 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0289 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0284 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.013 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.011 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0098 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0238 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.012 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.011 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0142 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0112 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0173 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0113 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0151 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0128 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0129 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.012 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0148 ms
