
0.0662;0.0448;0.1393
0.0119;0.0304;0.0126
0.0089;0.0153;0.0197
0.0083;0.0121;0.0064
0.0073;0.0879;0.015
0.0062;0.0076;0.0324
0.0049;0.0063;0.0152
0.0082;0.006;0.0151
0.0123;0.0062;0.005
0.0055;0.005;0.005
0.0073;0.0062;0.0137
0.0144;0.0074;0.0064
0.0042;0.0056;0.0049
0.0065;0.005;0.0052
0.0201;0.0129;0.02
0.003;0.0053;0.0039
0.0028;0.0079;0.0136
0.0173;0.0226;0.0068
0.0033;0.0055;0.012
0.0047;0.0098;0.0053
0.0029;0.0063;0.0116
0.0043;0.005;0.0032
0.0031;0.0156;0.0031
0.0049;0.0067;0.0203
0.0161;0.005;0.0028
0.002;0.0091;0.0026
0.0028;0.0107;0.0036
0.0147;0.0055;0.0044
0.003;0.0029;0.0067
0.0044;0.0026;0.0032
0.0021;0.0205;0.0036
0.0094;0.0049;0.0067
0.0032;0.0035;0.0027
0.0024;0.0045;0.0114
0.0034;0.0137;0.0105
0.0032;0.0032;0.0029
0.0022;0.0032;0.0032
0.0028;0.0045;0.0046
0.0101;0.0055;0.0032
0.0032;0.0038;0.0038
0.0039;0.0199;0.005
0.0071;0.0056;0.0047
0.0045;0.0157;0.005
0.0047;0.0072;0.0061
0.009;0.0042;0.0039
0.0038;0.0049;0.0042
0.005;0.0084;0.0059
0.0128;0.0086;0.0136
0.0187;0.0042;0.004
0.0048;0.0075;0.0045
0.0044;0.0203;0.0037
0.0031;0.0035;0.0045
0.0048;0.0035;0.0034
0.0028;0.0248;0.0033
0.0026;0.0029;0.0023
0.0169;0.0059;0.0041
0.003;0.0042;0.003
0.0025;0.0031;0.0025
0.0021;0.0116;0.0021
0.0024;0.0035;0.0069
0.0033;0.004;0.0036
0.0036;0.0069;0.0026
0.0034;0.0043;0.0075
0.0035;0.0042;0.0032
0.0027;0.0035;0.003
0.0035;0.0032;0.0053
0.0072;0.0328;0.0041
0.0038;0.0152;0.0025
0.0021;0.0033;0.0023
0.0051;0.0051;0.005
0.0032;0.0034;0.0042
0.0033;0.0029;0.0023
0.006;0.0035;0.0039
0.0039;0.0049;0.0028
0.0029;0.0031;0.0037
0.0024;0.0059;0.0034
0.0029;0.0035;0.0049
0.0035;0.004;0.0144
0.0103;0.0063;0.0144
0.0096;0.0046;0.004
0.0035;0.0047;0.0158
