Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0055 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.005 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0085 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.005 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0042 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0051 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0044 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.008 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0053 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0045 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0059 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0057 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0059 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0048 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0047 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0165 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0128 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0052 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0053 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0079 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0052 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0049 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0033 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0056 ms
