0.0216;0.017;0.0252
0.0079;0.0179;0.0074
0.0062;0.0108;0.0148
0.005;0.0063;0.0057
0.0091;0.0085;0.0383
0.0044;0.0058;0.017
0.0049;0.0048;0.014
0.0118;0.0098;0.0153
0.0134;0.0128;0.0052
0.0083;0.0063;0.0099
0.0046;0.006;0.0137
0.0171;0.0183;0.0049
0.0046;0.0084;0.0042
0.012;0.005;0.0128
0.0104;0.0249;0.0046
0.0128;0.0066;0.0029
0.0033;0.0055;0.0048
0.0066;0.0047;0.0134
0.003;0.0037;0.0064
0.0168;0.018;0.0172
0.0105;0.0394;0.0071
0.0205;0.0063;0.0221
0.0141;0.0078;0.0049
0.0081;0.0175;0.006
0.0092;0.0251;0.0092
0.0058;0.006;0.0044
0.0034;0.0038;0.0032
0.0027;0.0159;0.0141
0.0058;0.0093;0.0049
0.0047;0.0058;0.0034
0.0048;0.0054;0.0046
0.0045;0.0211;0.0136
0.005;0.0041;0.0064
0.0037;0.0036;0.0032
0.0046;0.0167;0.0055
0.0073;0.0125;0.0083
0.005;0.0069;0.0065
0.0051;0.0066;0.0113
0.005;0.0096;0.0063
0.0053;0.0038;0.0032
0.0048;0.0104;0.0041
0.0232;0.0173;0.0047
0.0049;0.0045;0.0051
0.0064;0.0078;0.0397
0.0205;0.0162;0.0166
0.0052;0.0057;0.0053
0.006;0.0067;0.0068
0.0054;0.0041;0.0237
0.0176;0.0043;0.0046
0.0052;0.0049;0.0055
0.0033;0.005;0.0044
0.0076;0.0089;0.0038
0.0145;0.0135;0.0048
0.0041;0.0061;0.0035
0.0034;0.0073;0.0134
0.0033;0.0036;0.0035
0.0031;0.0034;0.0026
0.0033;0.0036;0.0085
0.0048;0.0061;0.0038
0.0034;0.0061;0.0028
0.0097;0.0148;0.0032
0.0094;0.0035;0.0042
0.004;0.0039;0.0031
0.005;0.0047;0.0034
0.003;0.0121;0.004
0.0036;0.0029;0.0031
0.0034;0.0056;0.0029
0.0047;0.006;0.0077
0.0028;0.0209;0.0121
0.0034;0.0041;0.0032
0.0035;0.0051;0.0069
0.0037;0.004;0.0028
0.0025;0.0033;0.0032
