Liczba miast;Kadencja;Rodzaj ruchu;Parametr critical event;Długość najlepszej ścieżki;Czas znalezienia najlepszej ścieżki;Numer iteracji znalezienia najlepszej ścieżki;Najlepsza ścieżka
48;40;swap;7;1881;2.26196;17983;30 5 6 24 4 29 3 8 11 10 9 33 27 28 2 43 42 1 37 18 17 46 36 16 45 39 21 40 20 38 0 25 47 26 22 41 19 44 15 35 14 23 34 13 12 32 7 31 30
48;40;swap;7;1891;3.87121;29584;0 25 1 9 33 27 28 3 24 4 29 30 31 5 6 10 11 8 32 7 23 12 13 34 35 14 45 39 21 40 47 26 42 2 41 43 22 19 44 15 18 17 46 36 16 20 38 37 0
48;40;swap;7;1850;3.2986;26634;35 45 39 21 40 20 38 37 18 12 32 7 31 30 5 6 24 4 29 3 8 11 10 0 25 47 26 1 9 33 27 28 2 41 43 42 22 19 44 15 16 17 46 36 14 23 13 34 35
48;40;swap;7;1919;4.7479;39315;20 38 0 25 9 33 27 2 28 3 24 4 29 30 31 5 6 10 37 18 17 46 36 14 16 45 39 21 40 47 26 22 41 43 42 1 11 8 32 12 7 23 13 34 35 15 44 19 20
48;40;swap;7;1906;8.64314;67228;37 0 25 1 9 33 27 3 24 4 29 30 31 5 6 10 11 8 32 7 23 12 46 36 14 45 39 21 40 47 26 28 2 41 43 42 22 19 44 15 16 18 17 13 34 35 20 38 37
